Zone,cluster,NewCap,unnamed: 0,net_cluster,region,tech,case,resource,zone,endcap,endenergycap,endchargecap,newcap,retcap,newenergycap,retenergycap,newchargecap,retchargecap,iter,resource_type,policy,cpa_id,lcoe,area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primefarmland,exfacil,plfacil,m_hmi,m_popden,cpa_mw,name,cluster
1.0,2,547.1984210249494,62839,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,62840,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,64367,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,62630,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_9,2
1.0,2,547.1984210249494,62385,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,63190,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,64372,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72126,43.14086,33.0,42.92249849,-75.33550803,10103.024,New York,41.0,1.0,0.0,0.0,0.475029791,3.984848485,8.91,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,62390,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,72126,43.14086,33.0,42.92249849,-75.33550803,10103.024,New York,41.0,1.0,0.0,0.0,0.475029791,3.984848485,8.91,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,63195,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72126,43.14086,33.0,42.92249849,-75.33550803,10103.024,New York,41.0,1.0,0.0,0.0,0.475029791,3.984848485,8.91,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,62635,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72126,43.14086,33.0,42.92249849,-75.33550803,10103.024,New York,41.0,1.0,0.0,0.0,0.475029791,3.984848485,8.91,Onshore_WindNY_Z_C&E2_9,2
